"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","COUNTERPART_COUNTRY","FREQUENCY","SCALE","2021","2021-Q1","2021-M01","2021-M02","2021-M03","2021-Q2","2021-M04","2021-M05","2021-M06","2021-Q3","2021-M07","2021-M08","2021-M09","2021-Q4","2021-M10","2021-M11","2021-M12","2022","2022-Q1","2022-M01","2022-M02","2022-M03","2022-Q2","2022-M04","2022-M05","2022-M06","2022-Q3","2022-M07","2022-M08","2022-M09","2022-Q4","2022-M10","2022-M11","2022-M12","2023","2023-Q1","2023-M01","2023-M02","2023-M03","2023-Q2","2023-M04","2023-M05","2023-M06","2023-Q3","2023-M07","2023-M08","2023-M09","2023-Q4","2023-M10","2023-M11","2023-M12","2024","2024-Q1","2024-M01","2024-M02","2024-M03","2024-Q2","2024-M04","2024-M05","2024-M06","2024-Q3","2024-M07","2024-M08","2024-M09","2024-Q4","2024-M10","2024-M11","2024-M12","2025-Q1","2025-M01","2025-M02","2025-M03","2025-M04"
"IMF.STA:IMTS(1.0.0)","LKA.MG_CIF_USD.MMR.A","OBS_VALUE","Sri Lanka","Imports of goods, Cost insurance freight (CIF), US dollar","Myanmar","Annual","Millions","7599327.0","","","","","","","","","","","","","","","","","7179545.0","","","","","","","","","","","","","","","","","4125305.0","","","","","","","","","","","","","","","","","5503675.0","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:IMTS(1.0.0)","LKA.XG_FOB_USD.PAK.A","OBS_VALUE","Sri Lanka","Exports of goods, Free on board (FOB), US dollar","Pakistan","Annual","Millions","9.1883757E7","","","","","","","","","","","","","","","","","7.9509681E7","","","","","","","","","","","","","","","","","7.4710947E7","","","","","","","","","","","","","","","","","7.585587E7","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:IMTS(1.0.0)","LKA.TBG_USD.NPL.A","OBS_VALUE","Sri Lanka","Trade balance goods, US dollar","Nepal","Annual","Millions","1.1188075E7","","","","","","","","","","","","","","","","","1392095.0","","","","","","","","","","","","","","","","","868332.0","","","","","","","","","","","","","","","","","3663973.0","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:IMTS(1.0.0)","NPL.MG_CIF_USD.PAK.A","OBS_VALUE","Nepal","Imports of goods, Cost insurance freight (CIF), US dollar","Pakistan","Annual","Millions","5424501.0","","","","","","","","","","","","","","","","","3811890.0","","","","","","","","","","","","","","","","","3674631.0","","","","","","","","","","","","","","","","","2918728.0","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:IMTS(1.0.0)","LKA.XG_FOB_USD.IND.A","OBS_VALUE","Sri Lanka","Exports of goods, Free on board (FOB), US dollar","India","Annual","Millions","8.15110989E8","","","","","","","","","","","","","","","","","8.54882603E8","","","","","","","","","","","","","","","","","8.29699713E8","","","","","","","","","","","","","","","","","8.86483062E8","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:IMTS(1.0.0)","LKA.XG_FOB_USD.MMR.A","OBS_VALUE","Sri Lanka","Exports of goods, Free on board (FOB), US dollar","Myanmar","Annual","Millions","2298542.0","","","","","","","","","","","","","","","","","2995109.0","","","","","","","","","","","","","","","","","1637810.0","","","","","","","","","","","","","","","","","5468055.0","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:IMTS(1.0.0)","NPL.MG_CIF_USD.MMR.A","OBS_VALUE","Nepal","Imports of goods, Cost insurance freight (CIF), US dollar","Myanmar","Annual","Millions","4.050838E7","","","","","","","","","","","","","","","","","9222460.0","","","","","","","","","","","","","","","","","1.231049E7","","","","","","","","","","","","","","","","","1.9193565E7","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:IMTS(1.0.0)","LKA.XG_FOB_USD.MDV.A","OBS_VALUE","Sri Lanka","Exports of goods, Free on board (FOB), US dollar","Maldives","Annual","Millions","1.0266209E8","","","","","","","","","","","","","","","","","1.0618635E8","","","","","","","","","","","","","","","","","1.125373E8","","","","","","","","","","","","","","","","","1.51359136E8","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:IMTS(1.0.0)","MDV.MG_CIF_USD.BGD.Q","OBS_VALUE","Maldives","Imports of goods, Cost insurance freight (CIF), US dollar","Bangladesh","Quarterly","Millions","","1293865.0","","","","1795720.0","","","","841964.0","","","","2320731.0","","","","","1763864.0","","","","2114447.0","","","","1378155.0","","","","2981648.0","","","","","1745744.0","","","","1454788.0","","","","1164490.0","","","","1923210.0","","","","","1476399.0","","","","1858807.0","","","","1407932.0","","","","1195856.0","","","","2234008.0","","","",""
"IMF.STA:IMTS(1.0.0)","MDV.XG_FOB_USD.BGD.A","OBS_VALUE","Maldives","Exports of goods, Free on board (FOB), US dollar","Bangladesh","Annual","Millions","2699482.0","","","","","","","","","","","","","","","","","3875908.0","","","","","","","","","","","","","","","","","3345951.0","","","","","","","","","","","","","","","","","2897140.0","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:IMTS(1.0.0)","MDV.XG_FOB_USD.BGD.Q","OBS_VALUE","Maldives","Exports of goods, Free on board (FOB), US dollar","Bangladesh","Quarterly","Millions","","714836.0","","","","617526.0","","","","692523.0","","","","674597.0","","","","","883486.0","","","","1028521.0","","","","1285459.0","","","","678442.0","","","","","1087131.0","","","","758385.0","","","","464880.0","","","","1035555.0","","","","","1153393.0","","","","701819.0","","","","583492.0","","","","458436.0","","","","1226740.0","","","",""
"IMF.STA:IMTS(1.0.0)","MDV.MG_CIF_USD.IND.Q","OBS_VALUE","Maldives","Imports of goods, Cost insurance freight (CIF), US dollar","India","Quarterly","Millions","","6.8584076E7","","","","7.497289E7","","","","8.0075725E7","","","","9.4388249E7","","","","","9.9568659E7","","","","1.24795018E8","","","","1.31515507E8","","","","1.40535858E8","","","","","1.33134114E8","","","","1.38921882E8","","","","1.38680755E8","","","","1.34246063E8","","","","","1.03583568E8","","","","1.23484336E8","","","","1.27414158E8","","","","1.2961372E8","","","","1.62582593E8","","","",""
"IMF.STA:IMTS(1.0.0)","MDV.TBG_USD.IND.M","OBS_VALUE","Maldives","Trade balance goods, US dollar","India","Monthly","Millions","","","-1.951874E7","-1.927828E7","-2.7761619E7","","-2.5199574E7","-2.809056E7","-2.0468852E7","","-2.104741E7","-3.0031369E7","-2.756694E7","","-3.1435157E7","-2.9411477E7","-3.2254531E7","","","-3.2211876E7","-3.0468357E7","-3.4577741E7","","-4.1459207E7","-4.1438725E7","-4.0102758E7","","-4.4673135E7","-4.5947998E7","-3.9960776E7","","-4.3740285E7","-4.8848605E7","-4.6548751E7","","","-4.5800919E7","-4.3015119E7","-4.2960746E7","","-4.474202E7","-5.8000562E7","-3.4600847E7","","-4.6432662E7","-4.7067029E7","-4.3855338E7","","-4.730242E7","-4.1967569E7","-4.4086556E7","","","-4.4956827E7","-3.9050782E7","-1.8639421E7","","-4.9005554E7","-3.4962062E7","-3.8685602E7","","-4.9476267E7","-4.2595543E7","-3.4350239E7","","-4.7521438E7","-3.7431363E7","-4.3565884E7","","-6.754878E7","-4.7904792E7","-4.5957763E7","-3.9963082E7"
"IMF.STA:IMTS(1.0.0)","MDV.TBG_USD.IND.Q","OBS_VALUE","Maldives","Trade balance goods, US dollar","India","Quarterly","Millions","","-6.6558639E7","","","","-7.3758986E7","","","","-7.8645719E7","","","","-9.3101165E7","","","","","-9.7257974E7","","","","-1.2300069E8","","","","-1.30581909E8","","","","-1.39137641E8","","","","","-1.31776784E8","","","","-1.37343429E8","","","","-1.37355029E8","","","","-1.33356545E8","","","","","-1.0264703E8","","","","-1.22653218E8","","","","-1.26422049E8","","","","-1.28518685E8","","","","-1.61411335E8","","","",""
"IMF.STA:IMTS(1.0.0)","MDV.MG_CIF_USD.PAK.Q","OBS_VALUE","Maldives","Imports of goods, Cost insurance freight (CIF), US dollar","Pakistan","Quarterly","Millions","","1542612.0","","","","1915217.0","","","","1357577.0","","","","1872034.0","","","","","1693317.0","","","","1915823.0","","","","1999239.0","","","","2281897.0","","","","","2041657.0","","","","2439233.0","","","","2119926.0","","","","2800701.0","","","","","2243538.0","","","","2221941.0","","","","3065352.0","","","","2380428.0","","","","3841102.0","","","",""
"IMF.STA:IMTS(1.0.0)","MDV.XG_FOB_USD.IND.Q","OBS_VALUE","Maldives","Exports of goods, Free on board (FOB), US dollar","India","Quarterly","Millions","","2025437.0","","","","1213904.0","","","","1430006.0","","","","1287084.0","","","","","2310685.0","","","","1794328.0","","","","933598.0","","","","1398217.0","","","","","1357330.0","","","","1578453.0","","","","1325726.0","","","","889518.0","","","","","936538.0","","","","831118.0","","","","992109.0","","","","1095035.0","","","","1171258.0","","","",""
"IMF.STA:IMTS(1.0.0)","MDV.XG_FOB_USD.LKA.Q","OBS_VALUE","Maldives","Exports of goods, Free on board (FOB), US dollar","Sri Lanka","Quarterly","Millions","","716219.0","","","","353500.0","","","","683409.0","","","","591335.0","","","","","489679.0","","","","187884.0","","","","267980.0","","","","338292.0","","","","","416321.0","","","","180993.0","","","","301647.0","","","","479577.0","","","","","270309.0","","","","190355.0","","","","416882.0","","","","681124.0","","","","475026.0","","","",""
"IMF.STA:IMTS(1.0.0)","MDV.MG_CIF_USD.LKA.Q","OBS_VALUE","Maldives","Imports of goods, Cost insurance freight (CIF), US dollar","Sri Lanka","Quarterly","Millions","","3.3357023E7","","","","2.9913294E7","","","","3.8373329E7","","","","4.0473711E7","","","","","3.8185789E7","","","","4.0963812E7","","","","4.0955047E7","","","","3.8254545E7","","","","","3.6018184E7","","","","3.7256047E7","","","","4.2402904E7","","","","4.6561109E7","","","","","3.417743E7","","","","3.7829833E7","","","","4.3999247E7","","","","3.8121422E7","","","","4.4163487E7","","","",""
"IMF.STA:IMTS(1.0.0)","MDV.TBG_USD.BGD.Q","OBS_VALUE","Maldives","Trade balance goods, US dollar","Bangladesh","Quarterly","Millions","","-579029.0","","","","-1178194.0","","","","-149441.0","","","","-1646134.0","","","","","-880378.0","","","","-1085926.0","","","","-92696.0","","","","-2303206.0","","","","","-658613.0","","","","-696403.0","","","","-699610.0","","","","-887655.0","","","","","-323006.0","","","","-1156988.0","","","","-824440.0","","","","-737420.0","","","","-1007268.0","","","",""
"IMF.STA:IMTS(1.0.0)","MDV.TBG_USD.BGD.M","OBS_VALUE","Maldives","Trade balance goods, US dollar","Bangladesh","Monthly","Millions","","","-112562.0","-300441.0","-166026.0","","-313030.0","-756763.0","-108401.0","","-38958.0","56821.0","-167304.0","","-193897.0","-180601.0","-1271636.0","","","-179442.0","-287438.0","-413498.0","","-419441.0","-14529.0","-651956.0","","-74065.0","140052.0","-158683.0","","-574592.0","-298075.0","-1430539.0","","","-73103.0","-373403.0","-212107.0","","-544914.0","124691.0","-276180.0","","-79269.0","-259495.0","-360846.0","","-310497.0","-142595.0","-434563.0","","","256377.0","-268938.0","-310445.0","","-292466.0","-573050.0","-291472.0","","38742.0","-327126.0","-536056.0","","-167390.0","-301647.0","-268383.0","","-360156.0","-302879.0","-344233.0","1478974.0"
"IMF.STA:IMTS(1.0.0)","MDV.TBG_USD.PAK.M","OBS_VALUE","Maldives","Trade balance goods, US dollar","Pakistan","Monthly","Millions","","","-608206.0","-443584.0","-490822.0","","-853959.0","-577789.0","-483469.0","","-524532.0","-423913.0","-409132.0","","-595419.0","-677726.0","-598889.0","","","-412170.0","-596418.0","-644729.0","","-711192.0","-805688.0","-393193.0","","-521397.0","-806760.0","-671082.0","","-546757.0","-767757.0","-967383.0","","","-759134.0","-395129.0","-887162.0","","-759493.0","-938650.0","-741090.0","","-798095.0","-728564.0","-593267.0","","-1239952.0","-957753.0","-600899.0","","","-1207638.0","-675823.0","-356077.0","","-893279.0","-537307.0","-791355.0","","-808388.0","-755660.0","-1481004.0","","-779742.0","-746500.0","-854186.0","","-1095178.0","-809731.0","-1934856.0","-1727033.0"
"IMF.STA:IMTS(1.0.0)","MDV.TBG_USD.PAK.Q","OBS_VALUE","Maldives","Trade balance goods, US dollar","Pakistan","Quarterly","Millions","","-1542612.0","","","","-1915217.0","","","","-1357577.0","","","","-1872034.0","","","","","-1653317.0","","","","-1910073.0","","","","-1999239.0","","","","-2281897.0","","","","","-2041425.0","","","","-2439233.0","","","","-2119926.0","","","","-2798604.0","","","","","-2239538.0","","","","-2221941.0","","","","-3045052.0","","","","-2380428.0","","","","-3839765.0","","","",""
"IMF.STA:IMTS(1.0.0)","MDV.MG_CIF_USD.IND.M","OBS_VALUE","Maldives","Imports of goods, Cost insurance freight (CIF), US dollar","India","Monthly","Millions","","","2.0256947E7","1.985288E7","2.8474249E7","","2.5871044E7","2.831793E7","2.0783916E7","","2.133572E7","3.0747694E7","2.7992311E7","","3.1818697E7","2.9798914E7","3.2770638E7","","","3.280159E7","3.1547327E7","3.5219742E7","","4.2144295E7","4.205209E7","4.0598633E7","","4.4935608E7","4.6420368E7","4.0159531E7","","4.4132679E7","4.9344078E7","4.7059101E7","","","4.6357445E7","4.3442963E7","4.3333706E7","","4.5373413E7","5.8250431E7","3.5298038E7","","4.6973297E7","4.7533527E7","4.4173931E7","","4.7559818E7","4.2321709E7","4.4364536E7","","","4.5465477E7","3.933736E7","1.8780731E7","","4.9391056E7","3.5231052E7","3.8862228E7","","4.9720951E7","4.3030552E7","3.4662655E7","","4.7949028E7","3.7801483E7","4.3863209E7","","6.781163E7","4.852943E7","4.6241533E7","4.1274741E7"
"IMF.STA:IMTS(1.0.0)","MDV.XG_FOB_USD.IND.M","OBS_VALUE","Maldives","Exports of goods, Free on board (FOB), US dollar","India","Monthly","Millions","","","738207.0","574600.0","712630.0","","671470.0","227370.0","315064.0","","288310.0","716325.0","425371.0","","383540.0","387437.0","516107.0","","","589714.0","1078970.0","642001.0","","685088.0","613365.0","495875.0","","262473.0","472370.0","198755.0","","392394.0","495473.0","510350.0","","","556526.0","427844.0","372960.0","","631393.0","249869.0","697191.0","","540635.0","466498.0","318593.0","","257398.0","354140.0","277980.0","","","508650.0","286578.0","141310.0","","385502.0","268990.0","176626.0","","244684.0","435009.0","312416.0","","427590.0","370120.0","297325.0","","262850.0","624638.0","283770.0","1311659.0"
"IMF.STA:IMTS(1.0.0)","MDV.MG_CIF_USD.PAK.M","OBS_VALUE","Maldives","Imports of goods, Cost insurance freight (CIF), US dollar","Pakistan","Monthly","Millions","","","608206.0","443584.0","490822.0","","853959.0","577789.0","483469.0","","524532.0","423913.0","409132.0","","595419.0","677726.0","598889.0","","","412170.0","596418.0","684729.0","","711192.0","811438.0","393193.0","","521397.0","806760.0","671082.0","","546757.0","767757.0","967383.0","","","759366.0","395129.0","887162.0","","759493.0","938650.0","741090.0","","798095.0","728564.0","593267.0","","1239952.0","957753.0","602996.0","","","1211638.0","675823.0","356077.0","","893279.0","537307.0","791355.0","","828688.0","755660.0","1481004.0","","779742.0","746500.0","854186.0","","1095178.0","811068.0","1934856.0","1727033.0"
"IMF.STA:IMTS(1.0.0)","MDV.MG_CIF_USD.NPL.M","OBS_VALUE","Maldives","Imports of goods, Cost insurance freight (CIF), US dollar","Nepal","Monthly","Millions","","","1892.0","2300.0","","","","","","","1023.0","160.0","1782.0","","11302.0","","957.0","","","4963.0","90.0","7111.0","","","11766.0","135201.0","","","","","","","","","","","3291.0","9081.0","","","5524.0","171264.0","","","","2816.0","","","117.0","1254.0","","","","177612.0","","","","1150.0","493.0","","","","915.0","3469.0","","116019.0","2170.0","555.0","","4773.0","","1569.0","1400.0"
"IMF.STA:IMTS(1.0.0)","MDV.TBG_USD.LKA.M","OBS_VALUE","Maldives","Trade balance goods, US dollar","Sri Lanka","Monthly","Millions","","","-1.0812461E7","-1.0212273E7","-1.161607E7","","-1.036791E7","-9528357.0","-9663527.0","","-1.0424534E7","-1.6329271E7","-1.0936115E7","","-1.3289676E7","-1.2973447E7","-1.3619253E7","","","-1.0703688E7","-1.3805388E7","-1.3187034E7","","-1.3194966E7","-1.2948631E7","-1.4632331E7","","-1.4299997E7","-1.333327E7","-1.30538E7","","-1.1073706E7","-1.3067405E7","-1.3775142E7","","","-1.0494753E7","-1.2573106E7","-1.2534004E7","","-1.2560898E7","-1.1803225E7","-1.2710931E7","","-1.4432681E7","-1.46177E7","-1.3050876E7","","-1.7007057E7","-1.4462575E7","-1.46119E7","","","-1.4537988E7","-1.2994166E7","-6374967.0","","-1.4017267E7","-1.2031106E7","-1.1591105E7","","-1.6389776E7","-1.4735574E7","-1.2457015E7","","-1.390113E7","-1.001393E7","-1.3525238E7","","-1.2110502E7","-1.550036E7","-1.6077599E7","-1.3998027E7"
"IMF.STA:IMTS(1.0.0)","MDV.TBG_USD.LKA.Q","OBS_VALUE","Maldives","Trade balance goods, US dollar","Sri Lanka","Quarterly","Millions","","-3.2640804E7","","","","-2.9559794E7","","","","-3.768992E7","","","","-3.9882376E7","","","","","-3.769611E7","","","","-4.0775928E7","","","","-4.0687067E7","","","","-3.7916253E7","","","","","-3.5601863E7","","","","-3.7075054E7","","","","-4.2101257E7","","","","-4.6081532E7","","","","","-3.3907121E7","","","","-3.7639478E7","","","","-4.3582365E7","","","","-3.7440298E7","","","","-4.3688461E7","","","",""
"IMF.STA:IMTS(1.0.0)","MDV.MG_CIF_USD.BGD.M","OBS_VALUE","Maldives","Imports of goods, Cost insurance freight (CIF), US dollar","Bangladesh","Monthly","Millions","","","351075.0","448741.0","494049.0","","569476.0","961310.0","264934.0","","318454.0","169006.0","354504.0","","307897.0","430447.0","1582387.0","","","594920.0","496641.0","672303.0","","882458.0","391858.0","840131.0","","495726.0","374014.0","508415.0","","855736.0","505155.0","1620757.0","","","540649.0","636373.0","568722.0","","580833.0","280959.0","592996.0","","328312.0","475332.0","360846.0","","705171.0","484454.0","733585.0","","","481861.0","684093.0","310445.0","","558969.0","753530.0","546308.0","","305972.0","507596.0","594364.0","","288323.0","516392.0","391141.0","","716821.0","694029.0","823158.0","734743.0"
"IMF.STA:IMTS(1.0.0)","MDV.XG_FOB_USD.BGD.M","OBS_VALUE","Maldives","Exports of goods, Free on board (FOB), US dollar","Bangladesh","Monthly","Millions","","","238513.0","148300.0","328023.0","","256446.0","204547.0","156533.0","","279496.0","225827.0","187200.0","","114000.0","249846.0","310751.0","","","415478.0","209203.0","258805.0","","463017.0","377329.0","188175.0","","421661.0","514066.0","349732.0","","281144.0","207080.0","190218.0","","","467546.0","262970.0","356615.0","","35919.0","405650.0","316816.0","","249043.0","215837.0","","","394674.0","341859.0","299022.0","","","738238.0","415155.0","","","266503.0","180480.0","254836.0","","344714.0","180470.0","58308.0","","120933.0","214745.0","122758.0","","356665.0","391150.0","478925.0","2213717.0"
"IMF.STA:IMTS(1.0.0)","MDV.MG_CIF_USD.LKA.M","OBS_VALUE","Maldives","Imports of goods, Cost insurance freight (CIF), US dollar","Sri Lanka","Monthly","Millions","","","1.1091657E7","1.0442049E7","1.1823317E7","","1.0447349E7","9624663.0","9841282.0","","1.0715733E7","1.6634106E7","1.102349E7","","1.3531905E7","1.3062219E7","1.3879587E7","","","1.0980067E7","1.3893787E7","1.3311935E7","","1.3269292E7","1.2998524E7","1.4695996E7","","1.4363477E7","1.3436071E7","1.3155499E7","","1.1184326E7","1.3209715E7","1.3860504E7","","","1.0624182E7","1.2746046E7","1.2647956E7","","1.2597415E7","1.1871175E7","1.2787457E7","","1.4565016E7","1.4729946E7","1.3107942E7","","1.7181772E7","1.4700267E7","1.467907E7","","","1.4634622E7","1.3124012E7","6418796.0","","1.4059515E7","1.2075712E7","1.1694606E7","","1.6468182E7","1.4883013E7","1.2648052E7","","1.4169922E7","1.0254455E7","1.3697045E7","","1.2342681E7","1.5648646E7","1.617216E7","1.4435112E7"
"IMF.STA:IMTS(1.0.0)","MDV.XG_FOB_USD.LKA.M","OBS_VALUE","Maldives","Exports of goods, Free on board (FOB), US dollar","Sri Lanka","Monthly","Millions","","","279196.0","229776.0","207247.0","","79439.0","96306.0","177755.0","","291199.0","304835.0","87375.0","","242229.0","88772.0","260334.0","","","276379.0","88399.0","124901.0","","74326.0","49893.0","63665.0","","63480.0","102801.0","101699.0","","110620.0","142310.0","85362.0","","","129429.0","172940.0","113952.0","","36517.0","67950.0","76526.0","","132335.0","112246.0","57066.0","","174715.0","237692.0","67170.0","","","96634.0","129846.0","43829.0","","42248.0","44606.0","103501.0","","78406.0","147439.0","191037.0","","268792.0","240525.0","171807.0","","232179.0","148286.0","94561.0","437085.0"
"IMF.STA:IMTS(1.0.0)","MDV.TBG_USD.NPL.Q","OBS_VALUE","Maldives","Trade balance goods, US dollar","Nepal","Quarterly","Millions","","-4192.0","","","","","","","","-2235.0","","","","-12259.0","","","","","-12164.0","","","","-146967.0","","","","","","","","","","","","","-12372.0","","","","-176788.0","","","","-2816.0","","","","-1371.0","","","","","-177612.0","","","","-1643.0","","","","-4384.0","","","","-118744.0","","","","-6342.0","","","",""
"IMF.STA:IMTS(1.0.0)","MDV.TBG_USD.NPL.M","OBS_VALUE","Maldives","Trade balance goods, US dollar","Nepal","Monthly","Millions","","","-1892.0","-2300.0","","","","","","","-1023.0","570.0","-1782.0","","-11302.0","","-957.0","","","-4963.0","-90.0","-7111.0","","","-11766.0","-135201.0","","","","","","","","","","","-3291.0","-9081.0","","","-5524.0","-171264.0","","","","-2816.0","","","-117.0","-1254.0","","","","-177612.0","","","","-1150.0","-493.0","","","","-915.0","-3469.0","","-116019.0","-2170.0","-555.0","","-4773.0","","-1569.0","-1400.0"
"IMF.STA:IMTS(1.0.0)","MDV.MG_CIF_USD.NPL.Q","OBS_VALUE","Maldives","Imports of goods, Cost insurance freight (CIF), US dollar","Nepal","Quarterly","Millions","","4192.0","","","","","","","","2965.0","","","","12259.0","","","","","12164.0","","","","146967.0","","","","","","","","","","","","","12372.0","","","","176788.0","","","","2816.0","","","","1371.0","","","","","177612.0","","","","1643.0","","","","4384.0","","","","118744.0","","","","6342.0","","","",""
"IMF.STA:IMTS(1.0.0)","BTN.XG_FOB_USD.BGD.M","OBS_VALUE","Bhutan","Exports of goods, Free on board (FOB), US dollar","Bangladesh","Monthly","Millions","","","818392.0","1195219.0","1615245.0","","832826.0","487217.0","532727.0","","410417.0","565425.0","527625.0","","356603.0","441349.0","770951.0","","","755365.0","570362.0","652746.0","","998428.0","564962.0","612581.0","","698047.0","518991.0","410834.0","","480315.0","427438.0","440649.0","","","902662.0","1026159.0","822421.0","","717872.0","458199.0","509394.0","","456639.0","429543.0","425692.0","","471581.0","622279.0","528456.0","","","1197271.0","1208141.0","759601.0","","526095.0","700509.0","601769.0","","618061.0","504707.0","667943.0","","513600.0","576737.0","882072.0","","1488143.0","1293630.0","3044173.0","1442538.0"
"IMF.STA:IMTS(1.0.0)","BTN.MG_CIF_USD.MDV.M","OBS_VALUE","Bhutan","Imports of goods, Cost insurance freight (CIF), US dollar","Maldives","Monthly","Millions","","","591.0","591.0","591.0","","591.0","591.0","591.0","","591.0","591.0","591.0","","591.0","591.0","591.0","","","591.0","591.0","591.0","","591.0","591.0","591.0","","591.0","591.0","591.0","","591.0","591.0","591.0","","","591.0","591.0","591.0","","591.0","591.0","591.0","","591.0","591.0","591.0","","591.0","591.0","591.0","","","591.0","591.0","591.0","","591.0","591.0","591.0","","591.0","591.0","591.0","","591.0","591.0","591.0","","591.0","591.0","591.0","591.0"
"IMF.STA:IMTS(1.0.0)","BTN.MG_CIF_USD.BGD.M","OBS_VALUE","Bhutan","Imports of goods, Cost insurance freight (CIF), US dollar","Bangladesh","Monthly","Millions","","","316884.0","723030.0","596215.0","","328948.0","502863.0","708544.0","","306747.0","1463656.0","810515.0","","835026.0","867814.0","1009590.0","","","571799.0","368179.0","597985.0","","745866.0","471295.0","903410.0","","780791.0","818023.0","466728.0","","838666.0","930849.0","1124382.0","","","1803929.0","363642.0","976269.0","","568309.0","888224.0","505940.0","","409694.0","753039.0","739208.0","","1162049.0","536626.0","1045175.0","","","633281.0","834594.0","1175510.0","","935752.0","999331.0","1148278.0","","1158755.0","1154721.0","1379828.0","","1256527.0","856126.0","1949095.0","","1103488.0","1085405.0","1093596.0","1124893.0"
"IMF.STA:IMTS(1.0.0)","LKA.XG_FOB_USD.NPL.A","OBS_VALUE","Sri Lanka","Exports of goods, Free on board (FOB), US dollar","Nepal","Annual","Millions","1.1287769E7","","","","","","","","","","","","","","","","","1640603.0","","","","","","","","","","","","","","","","","964533.0","","","","","","","","","","","","","","","","","3858663.0","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:IMTS(1.0.0)","AFG.MG_CIF_USD.BGD.A","OBS_VALUE","Afghanistan, Islamic Republic of","Imports of goods, Cost insurance freight (CIF), US dollar","Bangladesh","Annual","Millions","2998988.0","","","","","","","","","","","","","","","","","1219533.0","","","","","","","","","","","","","","","","","1085153.0","","","","","","","","","","","","","","","","","1006069.0","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:IMTS(1.0.0)","AFG.TBG_USD.BGD.A","OBS_VALUE","Afghanistan, Islamic Republic of","Trade balance goods, US dollar","Bangladesh","Annual","Millions","-2894440.0","","","","","","","","","","","","","","","","","-1107444.0","","","","","","","","","","","","","","","","","-921790.0","","","","","","","","","","","","","","","","","-838494.0","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:IMTS(1.0.0)","PAK.MG_CIF_USD.LKA.A","OBS_VALUE","Pakistan","Imports of goods, Cost insurance freight (CIF), US dollar","Sri Lanka","Annual","Millions","7.376979E7","","","","","","","","","","","","","","","","","7.4288131E7","","","","","","","","","","","","","","","","","6.3417151E7","","","","","","","","","","","","","","","","","5.4301812E7","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:IMTS(1.0.0)","BTN.MG_CIF_USD.NPL.Q","OBS_VALUE","Bhutan","Imports of goods, Cost insurance freight (CIF), US dollar","Nepal","Quarterly","Millions","","6734117.0","","","","6176682.0","","","","7089435.0","","","","8328626.0","","","","","6637268.0","","","","9227528.0","","","","8785066.0","","","","8274547.0","","","","","8271963.0","","","","7715061.0","","","","6969383.0","","","","8182247.0","","","","","8021901.0","","","","9284782.0","","","","8564320.0","","","","1.2780441E7","","","","1.0445032E7","","","",""
"IMF.STA:IMTS(1.0.0)","BTN.XG_FOB_USD.NPL.Q","OBS_VALUE","Bhutan","Exports of goods, Free on board (FOB), US dollar","Nepal","Quarterly","Millions","","555131.0","","","","1010027.0","","","","653660.0","","","","926330.0","","","","","740804.0","","","","722284.0","","","","761634.0","","","","573619.0","","","","","1225431.0","","","","645290.0","","","","854945.0","","","","638314.0","","","","","620013.0","","","","680860.0","","","","777092.0","","","","1471724.0","","","","1139530.0","","","",""
"IMF.STA:IMTS(1.0.0)","LKA.XG_FOB_USD.AFG.A","OBS_VALUE","Sri Lanka","Exports of goods, Free on board (FOB), US dollar","Afghanistan, Islamic Republic of","Annual","Millions","953762.0","","","","","","","","","","","","","","","","","771301.0","","","","","","","","","","","","","","","","","983494.0","","","","","","","","","","","","","","","","","729337.0","","","","","","","","","","","","","","","","","","","","",""
