"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","COUNTERPART_COUNTRY","FREQUENCY","SCALE","2021","2021-Q1","2021-M01","2021-M02","2021-M03","2021-Q2","2021-M04","2021-M05","2021-M06","2021-Q3","2021-M07","2021-M08","2021-M09","2021-Q4","2021-M10","2021-M11","2021-M12","2022","2022-Q1","2022-M01","2022-M02","2022-M03","2022-Q2","2022-M04","2022-M05","2022-M06","2022-Q3","2022-M07","2022-M08","2022-M09","2022-Q4","2022-M10","2022-M11","2022-M12","2023","2023-Q1","2023-M01","2023-M02","2023-M03","2023-Q2","2023-M04","2023-M05","2023-M06","2023-Q3","2023-M07","2023-M08","2023-M09","2023-Q4","2023-M10","2023-M11","2023-M12","2024","2024-Q1","2024-M01","2024-M02","2024-M03","2024-Q2","2024-M04","2024-M05","2024-M06","2024-Q3","2024-M07","2024-M08","2024-M09","2024-Q4","2024-M10","2024-M11","2024-M12","2025-Q1","2025-M01","2025-M02","2025-M03","2025-M04"
"IMF.STA:IMTS(1.0.0)","MMR.XG_FOB_USD.BTN.A","OBS_VALUE","Myanmar","Exports of goods, Free on board (FOB), US dollar","Bhutan","Annual","Millions","12.0","","","","","","","","","","","","","","","","","12.0","","","","","","","","","","","","","","","","","12.0","","","","","","","","","","","","","","","","","14.0","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:IMTS(1.0.0)","BTN.TBG_USD.PAK.Q","OBS_VALUE","Bhutan","Trade balance goods, US dollar","Pakistan","Quarterly","Millions","","-465.0","","","","-465.0","","","","72820.0","","","","-1997.0","","","","","-465.0","","","","-3725.0","","","","-465.0","","","","-465.0","","","","","-385.0","","","","-465.0","","","","-465.0","","","","-465.0","","","","","-465.0","","","","-465.0","","","","-465.0","","","","18004.0","","","","-465.0","","","",""
"IMF.STA:IMTS(1.0.0)","BTN.TBG_USD.MDV.Q","OBS_VALUE","Bhutan","Trade balance goods, US dollar","Maldives","Quarterly","Millions","","-1773.0","","","","-1773.0","","","","-1773.0","","","","-1773.0","","","","","-1773.0","","","","-1773.0","","","","-1773.0","","","","-1773.0","","","","","-1773.0","","","","-1773.0","","","","-1773.0","","","","-1726.0","","","","","-1773.0","","","","-1773.0","","","","-1773.0","","","","-1773.0","","","","-1289.0","","","",""
"IMF.STA:IMTS(1.0.0)","BGD.TBG_USD.MDV.Q","OBS_VALUE","Bangladesh","Trade balance goods, US dollar","Maldives","Quarterly","Millions","","710140.0","","","","574740.0","","","","68260.0","","","","877085.0","","","","","312717.0","","","","449368.0","","","","319737.0","","","","133956.0","","","","","14014.0","","","","313401.0","","","","71782.0","","","","283118.0","","","","","317844.0","","","","633005.0","","","","207584.0","","","","133430.0","","","","1080731.0","","","",""
"IMF.STA:IMTS(1.0.0)","MMR.XG_FOB_USD.MDV.Q","OBS_VALUE","Myanmar","Exports of goods, Free on board (FOB), US dollar","Maldives","Quarterly","Millions","","1279.0","","","","","","","","3891.0","","","","","","","","","","","","","","","","","","","","","","","","","","7050.0","","","","7050.0","","","","7050.0","","","","7050.0","","","","","7290.0","","","","7290.0","","","","7290.0","","","","7290.0","","","","7290.0","","","",""
"IMF.STA:IMTS(1.0.0)","BGD.MG_CIF_USD.MDV.Q","OBS_VALUE","Bangladesh","Imports of goods, Cost insurance freight (CIF), US dollar","Maldives","Quarterly","Millions","","542442.0","","","","790036.0","","","","705430.0","","","","501563.0","","","","","779082.0","","","","670888.0","","","","1097912.0","","","","874918.0","","","","","1137072.0","","","","869150.0","","","","721192.0","","","","958167.0","","","","","1028520.0","","","","772566.0","","","","794430.0","","","","1146589.0","","","","613541.0","","","",""
"IMF.STA:IMTS(1.0.0)","BGD.XG_FOB_USD.AFG.Q","OBS_VALUE","Bangladesh","Exports of goods, Free on board (FOB), US dollar","Afghanistan, Islamic Republic of","Quarterly","Millions","","2732033.0","","","","1927275.0","","","","1852143.0","","","","638394.0","","","","","879515.0","","","","1958453.0","","","","938988.0","","","","4888189.0","","","","","3093802.0","","","","1339704.0","","","","2646925.0","","","","1482847.0","","","","","3665454.0","","","","2605585.0","","","","3352664.0","","","","3194743.0","","","","1899085.0","","","",""
"IMF.STA:IMTS(1.0.0)","MDV.TBG_USD.BTN.M","OBS_VALUE","Maldives","Trade balance goods, US dollar","Bhutan","Monthly","Millions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-47.0","","","","","","","","","","","","","","","","","","","","","-484.0","","",""
"IMF.STA:IMTS(1.0.0)","MDV.MG_CIF_USD.BTN.M","OBS_VALUE","Maldives","Imports of goods, Cost insurance freight (CIF), US dollar","Bhutan","Monthly","Millions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47.0","","","","","","","","","","","","","","","","","","","","","484.0","","",""
"IMF.STA:IMTS(1.0.0)","BTN.XG_FOB_USD.MDV.M","OBS_VALUE","Bhutan","Exports of goods, Free on board (FOB), US dollar","Maldives","Monthly","Millions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47.0","","","","","","","","","","","","","","","","","","","","","484.0","","",""
"IMF.STA:IMTS(1.0.0)","BGD.XG_FOB_USD.MDV.A","OBS_VALUE","Bangladesh","Exports of goods, Free on board (FOB), US dollar","Maldives","Annual","Millions","4769696.0","","","","","","","","","","","","","","","","","4638578.0","","","","","","","","","","","","","","","","","4367896.0","","","","","","","","","","","","","","","","","5033968.0","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:IMTS(1.0.0)","BGD.MG_CIF_USD.MDV.A","OBS_VALUE","Bangladesh","Imports of goods, Cost insurance freight (CIF), US dollar","Maldives","Annual","Millions","2539471.0","","","","","","","","","","","","","","","","","3422800.0","","","","","","","","","","","","","","","","","3685581.0","","","","","","","","","","","","","","","","","3742105.0","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:IMTS(1.0.0)","BGD.XG_FOB_USD.AFG.A","OBS_VALUE","Bangladesh","Exports of goods, Free on board (FOB), US dollar","Afghanistan, Islamic Republic of","Annual","Millions","7149845.0","","","","","","","","","","","","","","","","","8665145.0","","","","","","","","","","","","","","","","","8563278.0","","","","","","","","","","","","","","","","","1.2818446E7","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:IMTS(1.0.0)","BGD.TBG_USD.MDV.A","OBS_VALUE","Bangladesh","Trade balance goods, US dollar","Maldives","Annual","Millions","2230225.0","","","","","","","","","","","","","","","","","1215778.0","","","","","","","","","","","","","","","","","682315.0","","","","","","","","","","","","","","","","","1291863.0","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:IMTS(1.0.0)","LKA.XG_FOB_USD.BTN.A","OBS_VALUE","Sri Lanka","Exports of goods, Free on board (FOB), US dollar","Bhutan","Annual","Millions","28275.0","","","","","","","","","","","","","","","","","833829.0","","","","","","","","","","","","","","","","","2124.0","","","","","","","","","","","","","","","","","192.0","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:IMTS(1.0.0)","LKA.MG_CIF_USD.BTN.A","OBS_VALUE","Sri Lanka","Imports of goods, Cost insurance freight (CIF), US dollar","Bhutan","Annual","Millions","1283.0","","","","","","","","","","","","","","","","","468.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21340.0","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:IMTS(1.0.0)","LKA.MG_CIF_USD.BTN.Q","OBS_VALUE","Sri Lanka","Imports of goods, Cost insurance freight (CIF), US dollar","Bhutan","Quarterly","Millions","","","","","","505.0","","","","168.0","","","","610.0","","","","","63.0","","","","180.0","","","","110.0","","","","115.0","","","","","","","","","","","","","","","","","","","","","","","","","","12064.0","","","","9276.0","","","","","","","","","","","",""
"IMF.STA:IMTS(1.0.0)","LKA.TBG_USD.BTN.A","OBS_VALUE","Sri Lanka","Trade balance goods, US dollar","Bhutan","Annual","Millions","26992.0","","","","","","","","","","","","","","","","","833361.0","","","","","","","","","","","","","","","","","2124.0","","","","","","","","","","","","","","","","","-21148.0","","","","","","","","","","","","","","","","","","","","",""
